path, href
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s142.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/HEAVY VEHICLE NATIONAL LAW ACT 2013/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/hvnl245/s737.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s4.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7a.html#site_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s8.html#structure
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s9.html#specialist_building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s10.html#basic_building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s12.html#exempt_building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#government_certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#government_certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/ba200491/s19d.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#government_certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#government_certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s24.html
